,s1,s2,a,r,s_1,s_2
1082,-0.4776918888092041,-0.027226435020565987,1.0,-0.1,-0.5052615404129028,-0.02756964974105358
1083,-0.5052615404129028,-0.02756964974105358,1.0,-0.1,-0.5329686403274536,-0.027707109227776527
1084,-0.5329686403274536,-0.027707109227776527,1.0,-0.1,-0.5606054663658142,-0.027636844664812088
1085,-0.5606054663658142,-0.027636844664812088,1.0,-0.1,-0.5879653692245483,-0.027359863743185997
1086,-0.5879653692245483,-0.027359863743185997,1.0,-0.1,-0.6148454546928406,-0.026880109682679176
1087,-0.6148454546928406,-0.026880109682679176,1.0,-0.1,-0.6410497426986694,-0.026204273104667664
1088,-0.6410497426986694,-0.026204273104667664,2.0,-0.1,-0.665391206741333,-0.024341506883502007
1089,-0.665391206741333,-0.024341506883502007,1.0,-0.1,-0.6887010931968689,-0.023309845477342606
1090,-0.6887010931968689,-0.023309845477342606,1.0,-0.1,-0.7108226418495178,-0.022121591493487358
1091,-0.7108226418495178,-0.022121591493487358,1.0,-0.1,-0.7316127419471741,-0.020790087059140205
1092,-0.7316127419471741,-0.020790087059140205,1.0,-0.1,-0.750942051410675,-0.019329285249114037
1093,-0.750942051410675,-0.019329285249114037,2.0,-0.1,-0.767695426940918,-0.016753360629081726
1094,-0.767695426940918,-0.016753360629081726,2.0,-0.1,-0.7817773222923279,-0.0140819251537323
1095,-0.7817773222923279,-0.0140819251537323,2.0,-0.1,-0.7931107878684998,-0.0113334646448493
1096,-0.7931107878684998,-0.0113334646448493,2.0,-0.1,-0.8016360402107239,-0.008525271899998188
1097,-0.8016360402107239,-0.008525271899998188,2.0,-0.1,-0.8073095679283142,-0.005673522129654884
1098,-0.8073095679283142,-0.005673522129654884,2.0,-0.1,-0.8101030588150024,-0.002793453633785248
1099,-0.8101030588150024,-0.002793453633785248,2.0,-0.1,-0.8100026845932007,0.00010035777086159214
1100,-0.8100026845932007,0.00010035777086159214,1.0,-0.1,-0.8080090284347534,0.0019936778116971254
1101,-0.8080090284347534,0.0019936778116971254,1.0,-0.1,-0.804131805896759,0.003877199487760663
1102,-0.804131805896759,0.003877199487760663,1.0,-0.1,-0.7983903288841248,0.005741473287343979
1103,-0.7983903288841248,0.005741473287343979,1.0,-0.1,-0.7908135652542114,0.007576781325042248
1104,-0.7908135652542114,0.007576781325042248,1.0,-0.1,-0.7814404964447021,0.009373033419251442
1105,-0.7814404964447021,0.009373033419251442,1.0,-0.1,-0.7703208327293396,0.011119687929749489
1106,-0.7703208327293396,0.011119687929749489,1.0,-0.1,-0.7575151324272156,0.012805714271962643
1107,-0.7575151324272156,0.012805714271962643,1.0,-0.1,-0.7430955171585083,0.014419600367546082
1108,-0.7430955171585083,0.014419600367546082,1.0,-0.1,-0.7271460890769958,0.01594940945506096
1109,-0.7271460890769958,0.01594940945506096,1.0,-0.1,-0.70976322889328,0.017382891848683357
1110,-0.70976322889328,0.017382891848683357,1.0,-0.1,-0.6910555362701416,0.01870766468346119
1111,-0.6910555362701416,0.01870766468346119,1.0,-0.1,-0.6711441278457642,0.019911425188183784
1112,-0.6711441278457642,0.019911425188183784,1.0,-0.1,-0.650161862373352,0.020982233807444572
1113,-0.650161862373352,0.020982233807444572,1.0,-0.1,-0.6282531023025513,0.02190881222486496
1114,-0.6282531023025513,0.02190881222486496,1.0,-0.1,-0.6055721640586853,0.022680887952446938
1115,-0.6055721640586853,0.022680887952446938,1.0,-0.1,-0.5822826623916626,0.02328951098024845
1116,-0.5822826623916626,0.02328951098024845,2.0,-0.1,-0.5575553178787231,0.024727370589971542
1117,-0.5575553178787231,0.024727370589971542,2.0,-0.1,-0.5315737128257751,0.02598160319030285
1118,-0.5315737128257751,0.02598160319030285,2.0,-0.1,-0.5045322775840759,0.02704141102731228
